EmpNum,LastName,FirstName,Position,Supervisor,Username,Password,Security Question,Answer,Access,Email
10001,Garcia,Manuel III,Chief Executive Officer,N/A,mgarcia,Burger123,What is your favorite food?,Pizza,ADMIN,Abcdefg001@gmail.com
10002,Lim, Antonio,Chief Operating Officer,Garcia  Manuel III,alim,Pizza123,What is your favorite food?,Pizza,ADMIN,Abcdefg001@gmail.com
10003,Aquino,Bianca Sofia,Chief Finance Officer,Garcia  Manuel III,baquino,Pizza123,What is your favorite food?,Pizza,ADMIN,Abcdefg001@gmail.com
10004,Reyes,Isabella,Chief Marketing Officer,Garcia  Manuel III,ireyes,Pizza123,What is your favorite food?,Pizza,ADMIN,Abcdefg001@gmail.com
10005,Hernandez, Eduard,IT Operations and Systems,Lim  Antonio,ehernandez,Pizza123,What is your favorite food?,Pizza,IT,Abcdefg001@gmail.com
10006,Villanueva,Andrea Mae,HR Manager,Lim  Antonio,avillanueva,Pizza123,What is your favorite food?,Pizza,HR,Abcdefg001@gmail.com
10007,San Jose,Brad,HR Team Leader,Villanueva  Andrea Mae,bsanjose,Pizza123,What is your favorite food?,Pizza,HR,Abcdefg001@gmail.com
10008,Romualdez,Alice,HR Rank and File,San  Jose Brad,aromualdez,Pizza123,What is your favorite food?,Pizza,HR,Abcdefg001@gmail.com
10009,Atienza,Rosie,HR Rank and File,San  Jose Brad,ratienza,Pizza123,What is your favorite food?,Pizza,HR,Abcdefg001@gmail.com
10010,Alvaro,Roderick,Accounting Head,Aquino  Bianca Sofia,ralvaro,Pizza123,What is your favorite food?,Pizza,FINANCE,Abcdefg001@gmail.com
10011,Salcedo,Anthony,Payroll Manager,Alvaro  Roderick,asalcedo,Pizza123,What is your favorite food?,Pizza,FINANCE,Abcdefg001@gmail.com
10012,Lopez,Josie,Payroll Team Leader,Salcedo  Anthony,jlopez,Pizza123,What is your favorite food?,Pizza,FINANCE,Abcdefg001@gmail.com
10013,Farala,Martha,Payroll Rank and File,Salcedo  Anthony,mfarala,Pizza123,What is your favorite food?,Pizza,FINANCE,Abcdefg001@gmail.com
10014,Martinez,Leila,Payroll Rank and File,Salcedo  Anthony,lmartinez,Pizza123,What is your favorite food?,Pizza,FINANCE,Abcdefg001@gmail.com
10015,Romualdez,Fredrick,Account Manager,Lim  Antonio,fromualdez,Pizza123,What is your favorite food?,Pizza,ADMIN,Abcdefg001@gmail.com
10016,Mata,Christian,Account Team Leader,Romualdez  Fredrick,cmata,Pizza123,What is your favorite food?,Pizza,ADMIN,Abcdefg001@gmail.com
10017,De Leon,Selena,Account Team Leader,Romualdez  Fredrick,ldeleon,Pizza123,What is your favorite food?,Pizza,ADMIN,Abcdefg001@gmail.com
10018,San Jose,Allison,Account Rank and File,Mata  Christian,asanjose,Pizza123,What is your favorite food?,Pizza,EMPLOYEE,Abcdefg001@gmail.com
10019,Rosario,Cydney,Account Rank and File,Mata  Christian,crosario,Pizza123,What is your favorite food?,Pizza,EMPLOYEE,Abcdefg001@gmail.com
10020,Bautista,Mark,Account Rank and File,Mata  Christian,mbautista,Pizza123,What is your favorite food?,Pizza,EMPLOYEE,Abcdefg001@gmail.com
10021,Lazaro,Darlene,Account Rank and File,Mata  Christian,dlazaro,Pizza123,What is your favorite food?,Pizza,EMPLOYEE,Abcdefg001@gmail.com
10022,Delos Santos,Kolby,Account Rank and File,Mata  Christian,sdelos,Pizza123,What is your favorite food?,Pizza,EMPLOYEE,Abcdefg001@gmail.com
10023,Santos,Vella,Account Rank and File,Mata  Christian,vsantos,Pizza123,What is your favorite food?,Pizza,EMPLOYEE,Abcdefg001@gmail.com
10024,Del Rosario,Tomas,Account Rank and File,Mata  Christian,rdel,Pizza123,What is your favorite food?,Pizza,EMPLOYEE,Abcdefg001@gmail.com
10025,Tolentino,Jacklyn,Account Rank and File,De Leon  Selena,jtolentino,Pizza123,What is your favorite food?,Pizza,EMPLOYEE,Abcdefg001@gmail.com
10026,Gutierrez,Percival,Account Rank and File,De Leon  Selena,pgutierrez,Pizza123,What is your favorite food?,Pizza,EMPLOYEE,Abcdefg001@gmail.com
10027,Manalaysay,Garfield,Account Rank and File,De Leon  Selena,gmanalaysay,Pizza123,What is your favorite food?,Pizza,EMPLOYEE,Abcdefg001@gmail.com
10028,Villegas,Lizeth,Account Rank and File,De Leon  Selena,lvillegas,Pizza123,What is your favorite food?,Pizza,EMPLOYEE,Abcdefg001@gmail.com
10029,Ramos,Carol,Account Rank and File,De Leon  Selena,cramos,Pizza123,What is your favorite food?,Pizza,EMPLOYEE,Abcdefg001@gmail.com
10030,Maceda,Emelia,Account Rank and File,De Leon  Selena,emaceda,Pizza123,What is your favorite food?,Pizza,EMPLOYEE,Abcdefg001@gmail.com
10031,Aguilar,Delia,Account Rank and File,De Leon  Selena,daguilar,Pizza123,What is your favorite food?,Pizza,EMPLOYEE,Abcdefg001@gmail.com
10032,Castro,John Rafael,Sales & Marketing,Reyes  Isabella,jcastro,Pizza123,What is your favorite food?,Pizza,FINANCE,Abcdefg001@gmail.com
10033,Martinez,Carlos Ian,Supply Chain and Logistics,Reyes  Isabella,cmartinez,Pizza123,What is your favorite food?,Pizza,ADMIN,Abcdefg001@gmail.com
10034,Santos,Beatriz,Customer Service and Relations,Reyes  Isabella,bsantos,Pizza123,What is your favorite food?,Pizza,EMPLOYEE,Abcdefg001@gmail.com
10037,singh,bdjsaj,manager,NA,bsingh,Password123,What is your favorite food?,Adobo,ADMIN,
10038,nnmm,",,mlml",lmlml,NA,",nnmm",Password123,What is your favorite food?,jkl,EMPLOYEE,
