"EmpNum","LastName","FirstName","Position","Supervisor","Username","Password","Security Question","Answer","Access"
"10001","Garcia","Manuel III","Chief Executive Officer","N/A","mgarcia","Burger123","What is your favorite food?","Pizza","ADMIN"
"10002","Lim"," Antonio","Chief Operating Officer","Garcia  Manuel III","alim","Pizza123","What is your favorite food?","Pizza","ADMIN"
"10003","Aquino","Bianca Sofia","Chief Finance Officer","Garcia  Manuel III","baquino","Pizza123","What is your favorite food?","Pizza","ADMIN"
"10004","Reyes","Isabella","Chief Marketing Officer","Garcia  Manuel III","ireyes","Pizza123","What is your favorite food?","Pizza","ADMIN"
"10005","Hernandez"," Eduard","IT Operations and Systems","Lim  Antonio","ehernandez","Pizza123","What is your favorite food?","Pizza","ADMIN"
"10006","Villanueva","Andrea Mae","HR Manager","Lim  Antonio","avillanueva","Pizza123","What is your favorite food?","Pizza","SUPPORT"
"10007","San Jose","Brad","HR Team Leader","Villanueva  Andrea Mae","bsanjose","Pizza123","What is your favorite food?","Pizza","HR"
"10008","Romualdez","Alice","HR Rank and File","San  Jose Brad","aromualdez","Pizza123","What is your favorite food?","Pizza","HR"
"10009","Atienza","Rosie","HR Rank and File","San  Jose Brad","ratienza","Pizza123","What is your favorite food?","Pizza","HR"
"10010","Alvaro","Roderick","Accounting Head","Aquino  Bianca Sofia","ralvaro","Pizza123","What is your favorite food?","Pizza","SUPPORT"
"10011","Salcedo","Anthony","Payroll Manager","Alvaro  Roderick","asalcedo","Pizza123","What is your favorite food?","Pizza","SUPPORT"
"10012","Lopez","Josie","Payroll Team Leader","Salcedo  Anthony","jlopez","Pizza123","What is your favorite food?","Pizza","SUPPORT"
"10013","Farala","Martha","Payroll Rank and File","Salcedo  Anthony","mfarala","Pizza123","What is your favorite food?","Pizza","EMPLOYEE"
"10014","Martinez","Leila","Payroll Rank and File","Salcedo  Anthony","lmartinez","Pizza123","What is your favorite food?","Pizza","EMPLOYEE"
"10015","Romualdez","Fredrick","Account Manager","Lim  Antonio","fromualdez","Pizza123","What is your favorite food?","Pizza","SUPPORT"
"10016","Mata","Christian","Account Team Leader","Romualdez  Fredrick","cmata","Pizza123","What is your favorite food?","Pizza","SUPPORT"
"10017","De Leon","Selena","Account Team Leader","Romualdez  Fredrick","ldeleon","Pizza123","What is your favorite food?","Pizza","SUPPORT"
"10018","San Jose","Allison","Account Rank and File","Mata  Christian","asanjose","Pizza123","What is your favorite food?","Pizza","EMPLOYEE"
"10019","Rosario","Cydney","Account Rank and File","Mata  Christian","crosario","Pizza123","What is your favorite food?","Pizza","EMPLOYEE"
"10020","Bautista","Mark","Account Rank and File","Mata  Christian","mbautista","Pizza123","What is your favorite food?","Pizza","EMPLOYEE"
"10021","Lazaro","Darlene","Account Rank and File","Mata  Christian","dlazaro","Pizza123","What is your favorite food?","Pizza","EMPLOYEE"
"10022","Delos Santos","Kolby","Account Rank and File","Mata  Christian","sdelos","Pizza123","What is your favorite food?","Pizza","EMPLOYEE"
"10023","Santos","Vella","Account Rank and File","Mata  Christian","vsantos","Pizza123","What is your favorite food?","Pizza","EMPLOYEE"
"10024","Del Rosario","Tomas","Account Rank and File","Mata  Christian","rdel","Pizza123","What is your favorite food?","Pizza","EMPLOYEE"
"10025","Tolentino","Jacklyn","Account Rank and File","De Leon  Selena","jtolentino","Pizza123","What is your favorite food?","Pizza","EMPLOYEE"
"10026","Gutierrez","Percival","Account Rank and File","De Leon  Selena","pgutierrez","Pizza123","What is your favorite food?","Pizza","EMPLOYEE"
"10027","Manalaysay","Garfield","Account Rank and File","De Leon  Selena","gmanalaysay","Pizza123","What is your favorite food?","Pizza","EMPLOYEE"
"10028","Villegas","Lizeth","Account Rank and File","De Leon  Selena","lvillegas","Pizza123","What is your favorite food?","Pizza","EMPLOYEE"
"10029","Ramos","Carol","Account Rank and File","De Leon  Selena","cramos","Pizza123","What is your favorite food?","Pizza","EMPLOYEE"
"10030","Maceda","Emelia","Account Rank and File","De Leon  Selena","emaceda","Pizza123","What is your favorite food?","Pizza","EMPLOYEE"
"10031","Aguilar","Delia","Account Rank and File","De Leon  Selena","daguilar","Pizza123","What is your favorite food?","Pizza","EMPLOYEE"
"10032","Castro","John Rafael","Sales & Marketing","Reyes  Isabella","jcastro","Pizza123","What is your favorite food?","Pizza","EMPLOYEE"
"10033","Martinez","Carlos Ian","Supply Chain and Logistics","Reyes  Isabella","cmartinez","Pizza123","What is your favorite food?","Pizza","EMPLOYEE"
"10034","Santos","Beatriz","Customer Service and Relations","Reyes  Isabella","bsantos","Pizza123","What is your favorite food?","Pizza","EMPLOYEE"
